node_index,zone_id,is_centroid
0,4,0
1,4,0
2,-1,0
3,2,0
4,2,0
5,4,0
6,2,0
7,4,0
8,2,0
9,4,0
10,2,0
11,4,0
12,3,0
13,3,0
14,2,0
15,3,0
16,2,0
17,3,0
18,3,0
19,2,0
20,-1,0
21,2,0
22,1,0
23,1,0
24,2,0
25,1,0
26,-1,0
27,1,0
28,1,0
29,4,0
30,0,0
31,-1,0
32,-1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,2,0
40,0,0
41,1,0
42,1,0
43,1,0
44,-1,0
45,-1,0
46,2,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,4,0
55,1,0
56,2,0
57,4,0
58,1,0
59,1,0
60,2,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,2,0
69,0,0
70,2,0
71,0,0
72,1,0
73,2,0
74,0,0
75,0,0
76,3,0
77,1,0
78,0,0
79,4,0
80,0,0
81,3,0
82,4,0
83,3,0
84,3,0
85,3,0
86,2,0
87,1,0
88,1,0
89,2,0
90,2,0
91,3,0
92,-1,0
93,0,0
94,0,0
95,-1,0
96,3,0
97,2,0
98,3,0
99,2,0
100,4,0
101,2,0
102,2,0
103,2,0
104,4,0
105,2,0
106,4,0
107,4,0
108,1,0
109,4,0
110,4,0
111,4,0
112,1,0
113,0,0
114,2,0
115,0,0
116,1,0
117,0,0
118,2,0
119,1,0
120,0,0
121,0,0
122,2,0
123,2,0
124,-1,0
125,2,0
126,4,0
127,4,0
128,4,0
129,-1,0
130,2,0
131,4,0
132,4,0
133,-1,0
134,-1,0
135,4,0
136,4,0
137,4,0
138,1,0
139,4,0
140,4,0
141,-1,0
142,4,0
143,4,0
144,-1,0
145,4,0
146,2,0
147,5,0
148,4,0
149,4,0
150,5,0
151,4,0
152,-1,0
153,4,0
154,4,0
155,-1,0
156,4,0
157,4,0
158,-1,0
159,4,0
160,-1,0
161,4,0
162,3,0
163,-1,0
164,4,0
165,-1,0
166,-1,0
167,4,0
168,-1,0
169,4,0
170,-1,0
171,-1,0
172,-1,0
173,-1,0
174,-1,0
175,-1,0
176,-1,0
177,-1,0
178,-1,0
